Phase,ID,Time_uS,Delta_uS,SCH_Deg_s_X,SCH_Deg_s_Y,SCH_Deg_s_Z,SCH_G_X,SCH_G_Y,SCH_G_Z,ADXL_G_X,ADXL_G_Y,ADXL_G_Z,BNO_G_X,BNO_G_Y,BNO_G_Z,BNO_Deg_s_X,BNO_Deg_s_Y,BNO_Deg_s_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z
1,A,7267328,995,,,,,,,0.071,-0.229,-0.996,,,,,,,,,
1,B,3716684,3288,,,,,,,,,,0.036,-0.192,-0.985,,,,,,
1,S,3716684,4064,0.480,1.440,2.080,0.055,-0.230,-0.945,,,,,,,,,,,,
1,A,7271311,996,,,,,,,0.097,-0.232,-1.000,,,,,,,,,
1,B,3720071,2292,,,,,,,,,,,,,,,,66.562,-89.875,10.125
1,S,3720071,3387,0.800,1.440,2.080,0.056,-0.231,-0.947,,,,,,,,,,,,
1,A,7273302,996,,,,,,,0.096,-0.234,-0.991,,,,,,,,,
1,B,3722103,4288,,,,,,,,,,,,,0.000,0.000,0.112,,,
1,S,3722103,2032,0.480,1.760,2.080,0.056,-0.231,-0.948,,,,,,,,,,,,
1,A,7277284,995,,,,,,,0.096,-0.231,-1.006,,,,,,,,,
1,B,3726844,2288,,,,,,,,,,0.038,-0.192,-0.989,,,,,,
1,S,3726844,4741,0.800,1.440,2.080,0.057,-0.232,-0.949,,,,,,,,,,,,
1,A,7280271,996,,,,,,,0.104,-0.231,-0.993,,,,,,,,,
1,B,3728876,2288,,,,,,,,,,,,,,,,67.688,-90.062,9.875
1,S,3728876,2032,1.120,0.800,2.080,0.057,-0.232,-0.949,,,,,,,,,,,,
1,A,7282262,995,,,,,,,0.098,-0.233,-0.996,,,,,,,,,
1,B,3731567,3288,,,,,,,,,,0.040,-0.194,-0.994,,,,,,
1,S,3731567,2691,1.120,0.480,2.400,0.057,-0.232,-0.949,,,,,,,,,,,,
1,A,7285249,995,,,,,,,0.102,-0.233,-0.991,,,,,,,,,
1,B,3734295,2288,,,,,,,,,,,,,0.112,0.000,0.112,,,
1,S,3734295,2728,1.120,0.480,2.400,0.056,-0.231,-0.947,,,,,,,,,,,,
1,A,7288236,996,,,,,,,0.101,-0.232,-0.999,,,,,,,,,
1,B,3737005,3292,,,,,,,,,,0.041,-0.193,-0.993,,,,,,
1,S,3737005,2710,1.120,1.120,2.080,0.055,-0.232,-0.947,,,,,,,,,,,,
1,A,7291223,996,,,,,,,0.103,-0.233,-0.992,,,,,,,,,
1,B,3740392,2288,,,,,,,,,,,,,,,,66.688,-89.125,10.125
1,S,3740392,678,0.800,1.440,2.080,0.055,-0.232,-0.948,,,,,,,,,,,,
1,A,7293214,996,,,,,,,0.102,-0.235,-0.992,,,,,,,,,
1,B,3742424,3288,,,,,,,,,,0.038,-0.193,-0.993,,,,,,
