Phase,ID,Time_uS,Delta_uS,SCH_Deg_s_X,SCH_Deg_s_Y,SCH_Deg_s_Z,SCH_G_X,SCH_G_Y,SCH_G_Z,ADXL_G_X,ADXL_G_Y,ADXL_G_Z,BNO_G_X,BNO_G_Y,BNO_G_Z,BNO_Deg_s_X,BNO_Deg_s_Y,BNO_Deg_s_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z
1,S,8328911,2032,0.800,0.480,2.080,0.054,-0.235,-0.947,,,,,,,,,,,,
1,A,11884041,996,,,,,,,0.099,-0.236,-0.994,,,,,,,,,
1,B,8332976,2287,,,,,,,,,,0.039,-0.196,-0.995,,,,,,
1,S,8332976,4065,0.800,0.800,2.400,0.055,-0.234,-0.947,,,,,,,,,,,,
1,A,11886032,996,,,,,,,0.100,-0.235,-0.996,,,,,,,,,
1,B,8335685,3287,,,,,,,,,,0.039,-0.194,-0.992,,,,,,
1,S,8335685,2709,0.800,1.440,2.080,0.055,-0.234,-0.947,,,,,,,,,,,,
1,A,11890014,995,,,,,,,0.100,-0.233,-0.996,,,,,,,,,
1,B,8339072,2287,,,,,,,,,,,,,,,,67.750,-90.000,10.500
1,S,8339072,3387,0.480,1.120,1.440,0.056,-0.234,-0.948,,,,,,,,,,,,
1,A,11892006,996,,,,,,,0.100,-0.234,-0.994,,,,,,,,,
1,B,8341104,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8341104,2032,0.480,0.800,1.440,0.056,-0.233,-0.948,,,,,,,,,,,,
1,A,11895988,995,,,,,,,0.100,-0.233,-0.994,,,,,,,,,
1,B,8345169,3292,,,,,,,,,,0.039,-0.195,-0.990,,,,,,
1,S,8345169,4065,0.800,0.800,2.400,0.054,-0.233,-0.948,,,,,,,,,,,,
1,A,11899971,996,,,,,,,0.100,-0.234,-0.992,,,,,,,,,
1,B,8348555,2287,,,,,,,,,,,,,,,,66.562,-88.875,10.312
1,S,8348555,3386,0.800,0.480,2.720,0.054,-0.233,-0.947,,,,,,,,,,,,
1,A,11901962,995,,,,,,,0.098,-0.234,-0.990,,,,,,,,,
1,B,8351265,3287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8351265,2710,0.800,0.480,2.400,0.053,-0.233,-0.946,,,,,,,,,,,,
1,A,11904949,995,,,,,,,0.100,-0.235,-0.992,,,,,,,,,
1,B,8353975,3287,,,,,,,,,,0.039,-0.193,-0.990,,,,,,
1,S,8353975,2710,0.480,0.800,2.080,0.053,-0.232,-0.945,,,,,,,,,,,,
1,A,11908932,996,,,,,,,0.100,-0.234,-0.992,,,,,,,,,
1,B,8357361,2288,,,,,,,,,,,,,,,,67.125,-89.250,10.000
1,S,8357361,3386,0.480,0.800,1.440,0.053,-0.232,-0.946,,,,,,,,,,,,
1,A,11910923,995,,,,,,,0.100,-0.235,-0.990,,,,,,,,,
1,B,8360071,3287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8360071,2710,0.800,0.800,1.440,0.052,-0.232,-0.946,,,,,,,,,,,,
1,A,11913910,995,,,,,,,0.100,-0.232,-0.991,,,,,,,,,
1,B,8363458,3293,,,,,,,,,,0.036,-0.195,-0.988,,,,,,
1,S,8363458,3387,1.120,1.120,1.760,0.052,-0.231,-0.944,,,,,,,,,,,,
1,A,11916897,996,,,,,,,0.101,-0.234,-0.989,,,,,,,,,
1,B,8366167,2287,,,,,,,,,,,,,,,,66.562,-88.875,10.312
1,S,8366167,2709,1.440,1.120,1.760,0.052,-0.231,-0.943,,,,,,,,,,,,
1,A,11919884,996,,,,,,,0.102,-0.232,-0.990,,,,,,,,,
1,B,8368877,3287,,,,,,,,,,0.038,-0.195,-0.989,,,,,,
1,S,8368877,2710,1.120,1.120,2.080,0.052,-0.231,-0.943,,,,,,,,,,,,
1,A,11922871,996,,,,,,,0.099,-0.234,-0.990,,,,,,,,,
1,B,8372264,2287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8372264,3387,0.800,1.440,2.400,0.052,-0.231,-0.944,,,,,,,,,,,,
1,A,11924862,996,,,,,,,0.101,-0.232,-0.992,,,,,,,,,
1,B,8374296,3288,,,,,,,,,,,,,,,,67.625,-90.562,10.188
1,S,8374296,2032,1.440,1.760,2.400,0.052,-0.231,-0.944,,,,,,,,,,,,
1,A,11928845,996,,,,,,,0.098,-0.235,-0.991,,,,,,,,,
1,B,8377683,3287,,,,,,,,,,0.037,-0.193,-0.990,,,,,,
1,S,8377683,3387,1.440,1.440,2.400,0.054,-0.232,-0.943,,,,,,,,,,,,
1,A,11931832,996,,,,,,,0.101,-0.231,-0.993,,,,,,,,,
1,B,8381070,2292,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8381070,3387,1.440,0.480,2.080,0.055,-0.232,-0.943,,,,,,,,,,,,
1,A,11933823,996,,,,,,,0.099,-0.236,-0.991,,,,,,,,,
1,B,8383102,3287,,,,,,,,,,,,,,,,67.062,-88.250,8.750
1,S,8383102,2032,0.800,0.800,2.080,0.055,-0.232,-0.945,,,,,,,,,,,,
1,A,11937805,995,,,,,,,0.099,-0.234,-0.992,,,,,,,,,
1,B,8386489,2287,,,,,,,,,,0.037,-0.194,-0.991,,,,,,
1,S,8386489,3387,0.800,1.440,2.400,0.054,-0.232,-0.945,,,,,,,,,,,,
1,A,11939797,996,,,,,,,0.101,-0.234,-0.992,,,,,,,,,
1,B,8388521,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8388521,2032,1.120,2.080,2.080,0.053,-0.232,-0.945,,,,,,,,,,,,
1,A,11943779,995,,,,,,,0.098,-0.235,-0.992,,,,,,,,,
1,B,8393263,2287,,,,,,,,,,0.037,-0.194,-0.991,,,,,,
1,S,8393263,4742,1.440,2.080,1.440,0.054,-0.232,-0.944,,,,,,,,,,,,
1,A,11945770,995,,,,,,,0.098,-0.233,-0.992,,,,,,,,,
1,B,8395295,2287,,,,,,,,,,,,,,,,66.875,-89.438,9.875
1,S,8395295,2032,1.440,1.760,1.440,0.054,-0.233,-0.945,,,,,,,,,,,,
1,A,11948757,995,,,,,,,0.099,-0.234,-0.993,,,,,,,,,
1,B,8397327,4292,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8397327,2032,1.120,1.440,1.440,0.055,-0.233,-0.946,,,,,,,,,,,,
1,A,11952740,996,,,,,,,0.099,-0.234,-0.995,,,,,,,,,
1,B,8402068,2287,,,,,,,,,,0.042,-0.193,-0.992,,,,,,
1,S,8402068,4741,0.800,0.480,2.400,0.055,-0.233,-0.948,,,,,,,,,,,,
1,A,11954731,995,,,,,,,0.099,-0.232,-0.995,,,,,,,,,
1,B,8404101,2287,,,,,,,,,,,,,,,,66.938,-89.312,9.562
1,S,8404101,2033,0.160,0.480,2.400,0.054,-0.233,-0.948,,,,,,,,,,,,
1,A,11957718,996,,,,,,,0.099,-0.234,-0.994,,,,,,,,,
1,B,8406810,2287,,,,,,,,,,0.039,-0.196,-0.995,,,,,,
1,S,8406810,2709,0.160,0.480,2.080,0.053,-0.233,-0.947,,,,,,,,,,,,
1,A,11959709,995,,,,,,,0.098,-0.236,-0.993,,,,,,,,,
1,B,8408842,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8408842,2032,0.480,0.480,1.760,0.053,-0.233,-0.946,,,,,,,,,,,,
1,A,11963692,996,,,,,,,0.100,-0.235,-0.994,,,,,,,,,
1,B,8412906,3287,,,,,,,,,,,,,,,,67.188,-89.125,9.688
1,S,8412906,4064,0.800,0.800,1.440,0.055,-0.234,-0.946,,,,,,,,,,,,
1,A,11967674,995,,,,,,,0.099,-0.236,-0.994,,,,,,,,,
1,B,8416293,2292,,,,,,,,,,0.038,-0.196,-0.992,,,,,,
1,S,8416293,3387,1.120,1.120,2.080,0.056,-0.234,-0.946,,,,,,,,,,,,
1,A,11969666,996,,,,,,,0.098,-0.233,-0.993,,,,,,,,,
1,B,8418326,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8418326,2033,1.120,1.120,2.400,0.056,-0.234,-0.946,,,,,,,,,,,,
1,A,11973648,995,,,,,,,0.100,-0.236,-0.994,,,,,,,,,
1,B,8423067,2287,,,,,,,,,,,,,,,,67.188,-89.625,10.062
1,S,8423067,4741,0.800,0.800,2.400,0.054,-0.235,-0.946,,,,,,,,,,,,
1,A,11975640,996,,,,,,,0.101,-0.233,-0.994,,,,,,,,,
1,B,8425099,2288,,,,,,,,,,0.039,-0.197,-0.990,,,,,,
1,S,8425099,2032,0.160,0.800,2.080,0.054,-0.234,-0.946,,,,,,,,,,,,
1,A,11978627,996,,,,,,,0.101,-0.234,-0.993,,,,,,,,,
1,B,8427809,5287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8427809,2710,0.160,1.120,2.400,0.054,-0.234,-0.947,,,,,,,,,,,,
1,A,11983605,996,,,,,,,0.101,-0.235,-0.993,,,,,,,,,
1,B,8432551,2287,,,,,,,,,,0.040,-0.196,-0.990,,,,,,
1,S,8432551,4742,0.160,1.760,2.720,0.054,-0.234,-0.946,,,,,,,,,,,,
1,A,11985596,996,,,,,,,0.099,-0.235,-0.990,,,,,,,,,
1,B,8435260,3292,,,,,,,,,,,,,,,,67.000,-89.375,10.312
1,S,8435260,2709,0.800,1.760,2.400,0.055,-0.234,-0.944,,,,,,,,,,,,
1,A,11989578,995,,,,,,,0.099,-0.235,-0.992,,,,,,,,,
1,B,8438647,4288,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8438647,677,1.120,1.440,2.080,0.055,-0.234,-0.944,,,,,,,,,,,,
1,A,11993561,996,,,,,,,0.100,-0.234,-0.991,,,,,,,,,
1,B,8442711,2287,,,,,,,,,,0.039,-0.197,-0.988,,,,,,
1,S,8442711,4064,1.440,1.440,1.760,0.055,-0.234,-0.945,,,,,,,,,,,,
1,A,11995552,995,,,,,,,0.099,-0.232,-0.991,,,,,,,,,
1,B,8444743,3287,,,,,,,,,,0.038,-0.194,-0.988,,,,,,
1,S,8444743,2032,1.440,1.760,1.760,0.055,-0.233,-0.945,,,,,,,,,,,,
1,A,11999535,996,,,,,,,0.099,-0.234,-0.991,,,,,,,,,
1,B,8448130,2287,,,,,,,,,,,,,,,,66.312,-88.688,10.062
1,S,8448130,3387,1.760,2.400,2.400,0.054,-0.232,-0.945,,,,,,,,,,,,
1,A,12001526,995,,,,,,,0.101,-0.234,-0.991,,,,,,,,,
1,B,8450840,3288,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8450840,2710,1.760,2.720,2.720,0.053,-0.232,-0.945,,,,,,,,,,,,
1,A,12004513,996,,,,,,,0.097,-0.233,-0.991,,,,,,,,,
1,B,8453549,3292,,,,,,,,,,0.038,-0.194,-0.988,,,,,,
1,S,8453549,2709,1.440,2.080,2.720,0.054,-0.232,-0.945,,,,,,,,,,,,
1,A,12008496,996,,,,,,,0.100,-0.233,-0.991,,,,,,,,,
1,B,8456936,2287,,,,,,,,,,,,,,,,67.312,-91.000,10.438
1,S,8456936,3387,1.120,1.440,2.400,0.055,-0.231,-0.943,,,,,,,,,,,,
1,A,12010487,996,,,,,,,0.099,-0.233,-0.990,,,,,,,,,
1,B,8459646,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8459646,2710,0.800,1.120,2.080,0.055,-0.231,-0.942,,,,,,,,,,,,
1,A,12014470,996,,,,,,,0.098,-0.232,-0.991,,,,,,,,,
1,B,8463710,2287,,,,,,,,,,0.036,-0.195,-0.987,,,,,,
1,S,8463710,4064,0.800,1.440,2.400,0.054,-0.231,-0.943,,,,,,,,,,,,
1,A,12016461,996,,,,,,,0.101,-0.232,-0.993,,,,,,,,,
1,B,8465742,2287,,,,,,,,,,,,,,,,66.812,-90.062,10.312
1,S,8465742,2032,0.800,1.440,2.400,0.055,-0.232,-0.943,,,,,,,,,,,,
1,A,12019448,996,,,,,,,0.100,-0.232,-0.992,,,,,,,,,
1,B,8468452,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8468452,2710,0.800,1.120,2.720,0.054,-0.233,-0.942,,,,,,,,,,,,
1,A,12023431,996,,,,,,,0.101,-0.232,-0.991,,,,,,,,,
1,B,8472516,2292,,,,,,,,,,0.038,-0.194,-0.988,,,,,,
1,S,8472516,4064,0.800,0.480,2.400,0.054,-0.232,-0.944,,,,,,,,,,,,
1,A,12025422,996,,,,,,,0.100,-0.233,-0.992,,,,,,,,,
1,B,8474548,3287,,,,,,,,,,,,,,,,66.562,-90.875,10.562
1,S,8474548,2032,1.120,0.800,2.080,0.054,-0.231,-0.946,,,,,,,,,,,,
1,A,12029405,996,,,,,,,0.100,-0.232,-0.995,,,,,,,,,
1,B,8477935,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8477935,3387,1.440,0.800,1.440,0.054,-0.232,-0.949,,,,,,,,,,,,
1,A,12033388,996,,,,,,,0.099,-0.233,-0.997,,,,,,,,,
1,B,8482677,2288,,,,,,,,,,0.039,-0.194,-0.991,,,,,,
1,S,8482677,678,1.760,0.480,1.760,0.054,-0.232,-0.949,,,,,,,,,,,,
1,A,12035379,996,,,,,,,0.100,-0.235,-0.995,,,,,,,,,
1,B,8484709,3287,,,,,,,,,,0.041,-0.195,-0.991,,,,,,
1,S,8484709,2032,1.760,0.480,2.080,0.053,-0.232,-0.948,,,,,,,,,,,,
1,A,12039362,996,,,,,,,0.102,-0.233,-0.996,,,,,,,,,
1,B,8488096,2287,,,,,,,,,,,,,,,,66.562,-90.375,11.250
1,S,8488096,3387,1.120,0.800,2.400,0.053,-0.232,-0.947,,,,,,,,,,,,
1,A,12041353,996,,,,,,,0.101,-0.235,-0.995,,,,,,,,,
1,B,8490128,3292,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8490128,2032,0.800,1.120,2.080,0.053,-0.233,-0.947,,,,,,,,,,,,
1,A,12044340,996,,,,,,,0.098,-0.237,-0.997,,,,,,,,,
1,B,8493515,3287,,,,,,,,,,0.038,-0.195,-0.995,,,,,,
1,S,8493515,3387,0.800,1.440,2.080,0.054,-0.234,-0.947,,,,,,,,,,,,
1,A,12047327,996,,,,,,,0.100,-0.235,-0.997,,,,,,,,,
1,B,8496902,2287,,,,,,,,,,,,,,,,68.125,-90.000,10.438
1,S,8496902,3387,1.120,1.440,2.080,0.053,-0.234,-0.947,,,,,,,,,,,,
1,A,12050314,996,,,,,,,0.100,-0.236,-0.993,,,,,,,,,
1,B,8498934,4288,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8498934,2032,1.120,1.120,2.400,0.053,-0.234,-0.947,,,,,,,,,,,,
1,A,12054297,996,,,,,,,0.099,-0.235,-0.996,,,,,,,,,
1,B,8503675,2287,,,,,,,,,,0.038,-0.194,-0.993,,,,,,
1,S,8503675,4741,1.120,1.440,2.720,0.055,-0.233,-0.946,,,,,,,,,,,,
1,A,12056288,996,,,,,,,0.100,-0.237,-0.994,,,,,,,,,
1,B,8505707,3287,,,,,,,,,,,,,,,,67.125,-89.688,9.375
1,S,8505707,2032,1.440,1.440,2.400,0.054,-0.234,-0.946,,,,,,,,,,,,
1,A,12060270,995,,,,,,,0.100,-0.236,-0.993,,,,,,,,,
1,B,8509094,4292,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8509094,3387,1.760,1.120,2.080,0.054,-0.235,-0.946,,,,,,,,,,,,
1,A,12064253,996,,,,,,,0.101,-0.236,-0.994,,,,,,,,,
1,B,8513159,2287,,,,,,,,,,0.036,-0.199,-0.991,,,,,,
1,S,8513159,4065,1.440,0.480,1.760,0.054,-0.236,-0.946,,,,,,,,,,,,
1,A,12066244,995,,,,,,,0.099,-0.236,-0.992,,,,,,,,,
1,B,8515868,3287,,,,,,,,,,0.038,-0.196,-0.990,,,,,,
1,S,8515868,2709,1.120,0.480,2.080,0.054,-0.235,-0.946,,,,,,,,,,,,
1,A,12070227,996,,,,,,,0.099,-0.235,-0.990,,,,,,,,,
1,B,8518578,2287,,,,,,,,,,,,,,,,67.062,-88.750,9.875
1,S,8518578,2710,1.120,1.120,2.400,0.054,-0.234,-0.945,,,,,,,,,,,,
1,A,12072218,995,,,,,,,0.101,-0.235,-0.991,,,,,,,,,
1,B,8521287,3287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8521287,2709,1.440,1.440,2.400,0.055,-0.234,-0.944,,,,,,,,,,,,
1,A,12075205,995,,,,,,,0.099,-0.236,-0.989,,,,,,,,,
1,B,8524674,3287,,,,,,,,,,0.038,-0.196,-0.988,,,,,,
1,S,8524674,3387,1.440,1.760,2.400,0.055,-0.235,-0.945,,,,,,,,,,,,
1,A,12078192,996,,,,,,,0.099,-0.235,-0.992,,,,,,,,,
1,B,8527384,2292,,,,,,,,,,,,,,,,66.688,-89.125,9.312
1,S,8527384,2710,1.120,1.440,2.400,0.054,-0.235,-0.945,,,,,,,,,,,,
1,A,12081179,996,,,,,,,0.100,-0.234,-0.988,,,,,,,,,
1,B,8530093,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8530093,2709,0.800,1.440,2.080,0.054,-0.235,-0.945,,,,,,,,,,,,
1,A,12085162,996,,,,,,,0.100,-0.234,-0.993,,,,,,,,,
1,B,8534157,2287,,,,,,,,,,0.039,-0.196,-0.988,,,,,,
1,S,8534157,4064,0.480,1.440,1.760,0.054,-0.234,-0.942,,,,,,,,,,,,
1,A,12087153,996,,,,,,,0.099,-0.235,-0.989,,,,,,,,,
1,B,8536867,3287,,,,,,,,,,,,,,,,67.250,-90.500,10.312
1,S,8536867,2710,0.800,1.760,1.760,0.055,-0.234,-0.941,,,,,,,,,,,,
1,A,12091135,995,,,,,,,0.099,-0.234,-0.990,,,,,,,,,
1,B,8539576,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8539576,2709,0.480,1.760,1.760,0.055,-0.233,-0.941,,,,,,,,,,,,
1,A,12095118,996,,,,,,,0.098,-0.234,-0.991,,,,,,,,,
1,B,8544318,2287,,,,,,,,,,0.036,-0.196,-0.988,,,,,,
1,S,8544318,4742,0.800,1.440,2.080,0.054,-0.232,-0.943,,,,,,,,,,,,
1,A,12097109,996,,,,,,,0.100,-0.234,-0.992,,,,,,,,,
1,B,8546350,3292,,,,,,,,,,0.037,-0.195,-0.988,,,,,,
1,S,8546350,2032,0.800,1.120,2.080,0.054,-0.232,-0.943,,,,,,,,,,,,
1,A,12101092,996,,,,,,,0.098,-0.234,-0.992,,,,,,,,,
1,B,8549737,2287,,,,,,,,,,,,,,,,67.438,-90.875,10.125
1,S,8549737,3387,0.480,1.120,2.080,0.054,-0.232,-0.943,,,,,,,,,,,,
1,A,12103083,996,,,,,,,0.100,-0.233,-0.993,,,,,,,,,
1,B,8551769,3287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8551769,2032,0.160,1.120,2.080,0.054,-0.232,-0.944,,,,,,,,,,,,
1,A,12106070,996,,,,,,,0.098,-0.234,-0.995,,,,,,,,,
1,B,8555156,3288,,,,,,,,,,0.038,-0.196,-0.990,,,,,,
1,S,8555156,3387,0.160,1.120,1.760,0.056,-0.232,-0.945,,,,,,,,,,,,
1,A,12109057,996,,,,,,,0.100,-0.233,-0.994,,,,,,,,,
1,B,8558543,2287,,,,,,,,,,,,,,,,66.812,-89.062,9.812
1,S,8558543,3387,0.480,1.120,1.760,0.056,-0.233,-0.946,,,,,,,,,,,,
1,A,12112044,996,,,,,,,0.099,-0.234,-0.992,,,,,,,,,
1,B,8560575,3287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8560575,2032,0.800,0.800,1.760,0.056,-0.233,-0.946,,,,,,,,,,,,
1,A,12115030,995,,,,,,,0.098,-0.233,-0.993,,,,,,,,,
1,B,8563962,3292,,,,,,,,,,0.040,-0.195,-0.993,,,,,,
1,S,8563962,3387,0.480,0.800,1.440,0.055,-0.233,-0.947,,,,,,,,,,,,
1,A,12118017,995,,,,,,,0.101,-0.233,-0.993,,,,,,,,,
1,B,8567349,2287,,,,,,,,,,,,,,,,67.562,-90.188,9.375
1,S,8567349,3387,-0.160,1.440,1.760,0.055,-0.232,-0.947,,,,,,,,,,,,
1,A,12121004,995,,,,,,,0.101,-0.234,-0.995,,,,,,,,,
1,B,8570059,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8570059,2710,-0.160,2.080,2.400,0.055,-0.232,-0.947,,,,,,,,,,,,
1,A,12124987,996,,,,,,,0.099,-0.232,-0.992,,,,,,,,,
1,B,8574123,2287,,,,,,,,,,0.038,-0.196,-0.991,,,,,,
1,S,8574123,4064,0.800,2.400,2.400,0.055,-0.232,-0.948,,,,,,,,,,,,
1,A,12126978,996,,,,,,,0.099,-0.232,-0.993,,,,,,,,,
1,B,8576155,3287,,,,,,,,,,0.039,-0.192,-0.991,,,,,,
1,S,8576155,2032,1.760,2.400,2.080,0.054,-0.232,-0.948,,,,,,,,,,,,
1,A,12130961,996,,,,,,,0.099,-0.234,-0.995,,,,,,,,,
1,B,8579542,2288,,,,,,,,,,,,,,,,66.688,-90.688,11.000
1,S,8579542,3387,1.760,2.400,1.440,0.054,-0.233,-0.949,,,,,,,,,,,,
1,A,12132952,996,,,,,,,0.101,-0.233,-0.992,,,,,,,,,
1,B,8581574,3292,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8581574,2032,1.120,2.080,1.440,0.054,-0.232,-0.948,,,,,,,,,,,,
1,A,12135939,996,,,,,,,0.099,-0.233,-0.995,,,,,,,,,
1,B,8584961,3287,,,,,,,,,,,,,,,,68.562,-90.000,9.312
1,S,8584961,3387,0.800,1.440,1.440,0.054,-0.230,-0.946,,,,,,,,,,,,
1,A,12138926,996,,,,,,,0.099,-0.232,-0.995,,,,,,,,,
1,B,8588348,3287,,,,,,,,,,0.037,-0.192,-0.990,,,,,,
1,S,8588348,3387,1.120,1.120,2.080,0.055,-0.230,-0.946,,,,,,,,,,,,
1,A,12142908,995,,,,,,,0.100,-0.232,-0.994,,,,,,,,,
1,B,8591735,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8591735,3387,1.760,1.440,2.720,0.055,-0.230,-0.946,,,,,,,,,,,,
1,A,12146891,996,,,,,,,0.102,-0.234,-0.993,,,,,,,,,
1,B,8595799,3287,,,,,,,,,,0.037,-0.196,-0.991,,,,,,
1,S,8595799,4064,1.440,1.440,2.400,0.055,-0.231,-0.947,,,,,,,,,,,,
1,A,12149878,996,,,,,,,0.101,-0.232,-0.992,,,,,,,,,
1,B,8599186,2287,,,,,,,,,,,,,,,,67.125,-90.188,10.500
1,S,8599186,3387,0.800,1.760,2.720,0.053,-0.234,-0.946,,,,,,,,,,,,
1,A,12152865,996,,,,,,,0.101,-0.233,-0.994,,,,,,,,,
1,B,8601895,3292,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8601895,677,1.120,1.760,2.720,0.053,-0.233,-0.946,,,,,,,,,,,,
1,A,12155852,996,,,,,,,0.100,-0.234,-0.992,,,,,,,,,
1,B,8604605,3287,,,,,,,,,,0.038,-0.195,-0.992,,,,,,
1,S,8604605,2710,1.120,1.760,2.720,0.053,-0.233,-0.946,,,,,,,,,,,,
1,A,12158839,996,,,,,,,0.101,-0.232,-0.990,,,,,,,,,
1,B,8607992,2288,,,,,,,,,,,,,,,,66.438,-89.938,10.375
1,S,8607992,3387,1.440,1.760,3.040,0.054,-0.233,-0.946,,,,,,,,,,,,
1,A,12161826,996,,,,,,,0.099,-0.233,-0.993,,,,,,,,,
1,B,8610701,3287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8610701,2709,1.440,1.760,3.040,0.055,-0.233,-0.945,,,,,,,,,,,,
1,A,12164812,995,,,,,,,0.099,-0.234,-0.989,,,,,,,,,
1,B,8614088,4287,,,,,,,,,,0.039,-0.193,-0.990,,,,,,
1,S,8614088,3387,1.120,1.760,2.720,0.055,-0.233,-0.944,,,,,,,,,,,,
1,A,12168795,996,,,,,,,0.101,-0.234,-0.990,,,,,,,,,
1,B,8618152,2287,,,,,,,,,,,,,,,,66.125,-90.875,11.750
1,S,8618152,4064,0.480,1.760,2.720,0.054,-0.232,-0.944,,,,,,,,,,,,
1,A,12170786,995,,,,,,,0.100,-0.233,-0.991,,,,,,,,,
1,B,8620185,3292,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8620185,2033,0.480,1.760,2.400,0.054,-0.232,-0.944,,,,,,,,,,,,
1,A,12174769,996,,,,,,,0.101,-0.234,-0.992,,,,,,,,,
1,B,8623571,3287,,,,,,,,,,0.039,-0.194,-0.988,,,,,,
1,S,8623571,3386,0.800,1.760,2.400,0.055,-0.232,-0.944,,,,,,,,,,,,
1,A,12177756,996,,,,,,,0.102,-0.234,-0.992,,,,,,,,,
1,B,8626958,2287,,,,,,,,,,,,,,,,67.500,-90.750,9.812
1,S,8626958,3387,0.800,2.080,2.400,0.056,-0.233,-0.945,,,,,,,,,,,,
1,A,12179747,996,,,,,,,0.100,-0.234,-0.993,,,,,,,,,
1,B,8628991,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8628991,2033,0.800,1.760,2.400,0.055,-0.233,-0.945,,,,,,,,,,,,
1,A,12184725,995,,,,,,,0.101,-0.234,-0.993,,,,,,,,,
1,B,8633732,2287,,,,,,,,,,0.035,-0.194,-0.991,,,,,,
1,S,8633732,4741,0.800,1.120,1.440,0.054,-0.233,-0.944,,,,,,,,,,,,
1,A,12186717,996,,,,,,,0.101,-0.234,-0.993,,,,,,,,,
1,B,8635764,2287,,,,,,,,,,,,,,,,66.125,-89.938,10.438
1,S,8635764,2032,0.160,1.120,1.760,0.053,-0.234,-0.945,,,,,,,,,,,,
1,A,12188708,996,,,,,,,0.100,-0.236,-0.993,,,,,,,,,
1,B,8637796,4292,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8637796,2032,0.480,1.120,2.080,0.053,-0.234,-0.945,,,,,,,,,,,,
1,A,12193686,996,,,,,,,0.101,-0.234,-0.994,,,,,,,,,
1,B,8642538,2287,,,,,,,,,,0.037,-0.194,-0.991,,,,,,
1,S,8642538,4742,0.800,1.760,2.720,0.053,-0.234,-0.946,,,,,,,,,,,,
1,A,12195677,995,,,,,,,0.099,-0.234,-0.994,,,,,,,,,
1,B,8644570,2288,,,,,,,,,,,,,,,,66.812,-90.625,10.750
1,S,8644570,2032,1.760,1.760,2.400,0.053,-0.234,-0.946,,,,,,,,,,,,
1,A,12197669,996,,,,,,,0.101,-0.235,-0.994,,,,,,,,,
1,B,8647260,2287,,,,,,,,,,0.037,-0.196,-0.991,,,,,,
1,S,8647260,2690,1.440,1.120,2.080,0.053,-0.233,-0.946,,,,,,,,,,,,
1,A,12199660,996,,,,,,,0.099,-0.235,-0.995,,,,,,,,,
1,B,8649312,4288,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8649312,2052,0.480,0.800,1.760,0.053,-0.233,-0.947,,,,,,,,,,,,
1,A,12204638,995,,,,,,,0.100,-0.234,-0.994,,,,,,,,,
1,B,8653376,2287,,,,,,,,,,,,,,,,66.812,-90.625,10.750
1,S,8653376,4064,0.160,0.800,2.080,0.054,-0.233,-0.948,,,,,,,,,,,,
1,A,12206630,996,,,,,,,0.100,-0.236,-0.994,,,,,,,,,
1,B,8656086,2292,,,,,,,,,,0.039,-0.196,-0.992,,,,,,
1,S,8656086,678,0.160,1.440,2.080,0.054,-0.233,-0.948,,,,,,,,,,,,
1,A,12208621,996,,,,,,,0.101,-0.234,-0.994,,,,,,,,,
1,B,8658118,4287,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,8658118,2032,0.160,2.080,2.080,0.054,-0.234,-0.948,,,,,,,,,,,,
