Phase,ID,Time_uS,Delta_uS,SCH_Deg_s_X,SCH_Deg_s_Y,SCH_Deg_s_Z,SCH_m_s2_X,SCH_m_s2_Y,SCH_m_s2_Z,ADXL_m_s2_X,ADXL_m_s2_Y,ADXL_m_s2_Z,BNO_m_s2_X,BNO_m_s2_Y,BNO_m_s2_Z,BNO_Deg_s_X,BNO_Deg_s_Y,BNO_Deg_s_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z
0,B,6099818,1000035,,,,,,,,,,,,,0.000,0.000,0.000,,,
0,S,6099818,1000035,0.800,1.120,1.760,0.253,0.018,-9.438,,,,,,,,,,,,
0,A,6107835,1008052,,,,,,,1.231,-0.037,-9.884,,,,,,,,,
0,B,7100839,1001021,,,,,,,,,,,,,,,,40.312,-96.000,15.125
0,S,7100839,1001021,1.760,1.760,2.080,0.242,-0.013,-9.438,,,,,,,,,,,,
0,A,7108514,1000679,,,,,,,1.205,-0.107,-9.764,,,,,,,,,
0,S,8100522,1001715,1.440,1.120,2.720,0.273,0.092,-9.408,,,,,,,,,,,,
0,B,8103231,1002392,,,,,,,,,,,,,-0.224,0.224,0.000,,,
0,A,8112197,1003683,,,,,,,1.204,0.006,-9.869,,,,,,,,,
0,B,9103604,1000373,,,,,,,,,,,,,,,,40.000,-96.312,16.000
0,S,9103604,1001050,0.480,1.120,1.760,0.193,0.058,-9.473,,,,,,,,,,,,
0,A,9113866,1001669,,,,,,,1.285,0.002,-9.923,,,,,,,,,
0,B,10110083,1006479,,,,,,,,,,,,,,,,39.938,-94.375,15.250
0,S,10110083,1006479,0.800,1.120,1.760,0.247,0.098,-9.467,,,,,,,,,,,,
0,A,10114535,1000669,,,,,,,1.258,0.010,-9.928,,,,,,,,,
0,B,11112509,1002426,,,,,,,,,,0.020,0.324,-9.930,,,,,,
0,S,11112509,1002426,0.800,1.440,1.760,0.188,0.048,-9.467,,,,,,,,,,,,
0,A,11115188,1000653,,,,,,,1.287,-0.023,-9.880,,,,,,,,,
0,B,12115620,1003111,,,,,,,,,,,,,,,,40.562,-96.250,16.312
0,S,12115620,1003111,0.160,1.760,2.080,0.207,0.102,-9.422,,,,,,,,,,,,
0,A,12116847,1001659,,,,,,,1.273,-0.037,-9.784,,,,,,,,,
0,B,13116707,1001087,,,,,,,,,,0.020,0.402,-9.969,,,,,,
0,S,13116707,1001087,0.480,0.160,1.760,0.217,0.128,-9.502,,,,,,,,,,,,
0,A,13119487,1002640,,,,,,,1.300,0.025,-9.954,,,,,,,,,
0,B,14117123,1000416,,,,,,,,,,0.047,0.316,-10.004,,,,,,
0,S,14117123,1000416,0.160,2.080,2.080,0.278,0.077,-9.498,,,,,,,,,,,,
0,A,14124122,1004635,,,,,,,1.295,0.034,-9.717,,,,,,,,,
0,B,15120255,1003132,,,,,,,,,,-0.008,0.410,-10.027,,,,,,
0,S,15120255,1003132,0.800,2.720,2.720,0.207,0.158,-9.463,,,,,,,,,,,,
0,A,15126752,1002630,,,,,,,1.192,0.047,-9.906,,,,,,,,,
0,B,16120683,1000428,,,,,,,,,,0.086,0.324,-9.895,,,,,,
0,S,16120683,1000428,0.800,0.800,2.080,0.268,0.048,-9.432,,,,,,,,,,,,
0,A,16129396,1002644,,,,,,,1.266,-0.034,-9.832,,,,,,,,,
0,B,17121096,1000413,,,,,,,,,,,,,,,,40.250,-96.062,16.062
0,S,17121096,1000413,-1.120,1.440,1.760,0.233,0.058,-9.383,,,,,,,,,,,,
0,A,17130064,1000668,,,,,,,1.202,0.111,-10.026,,,,,,,,,
0,B,18123584,1002488,,,,,,,,,,,,,,,,40.688,-94.562,15.062
0,S,18123584,1002488,1.120,2.080,2.400,0.207,0.043,-9.418,,,,,,,,,,,,
0,A,18131723,1001659,,,,,,,1.394,-0.062,-9.970,,,,,,,,,
0,B,19124703,1001119,,,,,,,,,,-0.066,0.289,-9.945,,,,,,
0,S,19124703,1001119,2.080,1.440,2.400,0.128,-0.003,-9.477,,,,,,,,,,,,
0,A,19132369,1000646,,,,,,,1.297,-0.114,-9.894,,,,,,,,,
0,B,20127857,1003154,,,,,,,,,,0.078,0.336,-9.973,,,,,,
0,S,20127857,1003154,0.800,0.800,2.080,0.207,0.058,-9.527,,,,,,,,,,,,
0,A,20134005,1001636,,,,,,,1.291,0.021,-9.946,,,,,,,,,
2,S,20629097,501240,0.800,0.480,1.760,0.278,0.062,-9.447,,,,,,,,,,,,
2,A,20632826,498821,,,,,,,1.209,-0.008,-9.862,,,,,,,,,
2,B,20633838,505981,,,,,,,,,,0.078,0.355,-9.922,,,,,,
2,S,20633838,4741,0.800,0.480,1.760,0.323,0.092,-9.412,,,,,,,,,,,,
2,A,20638800,5974,,,,,,,1.217,-0.015,-10.020,,,,,,,,,
2,B,20639257,5419,,,,,,,,,,0.105,0.363,-9.934,,,,,,
2,S,20639257,0,0.160,2.080,2.400,0.282,0.083,-9.447,,,,,,,,,,,,
2,A,20639796,996,,,,,,,1.214,-0.005,-10.054,,,,,,,,,
2,B,20640612,1355,,,,,,,,,,,,,,,,40.000,-96.438,16.250
2,S,20640612,1355,1.120,2.400,2.400,0.273,0.072,-9.482,,,,,,,,,,,,
2,A,20642783,2987,,,,,,,1.228,0.002,-10.056,,,,,,,,,
2,B,20643321,2709,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20643321,2709,1.440,2.720,2.400,0.268,0.062,-9.557,,,,,,,,,,,,
2,A,20645770,2987,,,,,,,1.264,-0.010,-10.053,,,,,,,,,
2,B,20646708,3387,,,,,,,,,,0.059,0.324,-10.066,,,,,,
2,S,20646708,3387,1.440,2.080,2.080,0.263,0.062,-9.607,,,,,,,,,,,,
2,A,20648756,2986,,,,,,,1.249,-0.015,-9.981,,,,,,,,,
2,B,20650095,3387,,,,,,,,,,,,,,,,38.750,-95.375,15.562
2,S,20650095,3387,1.120,1.760,2.080,0.237,0.062,-9.582,,,,,,,,,,,,
2,A,20650748,1992,,,,,,,1.229,-0.013,-9.926,,,,,,,,,
2,B,20652127,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20652127,2032,1.760,1.760,2.400,0.223,0.068,-9.543,,,,,,,,,,,,
2,A,20654730,3982,,,,,,,1.274,-0.023,-9.724,,,,,,,,,
2,B,20655513,3386,,,,,,,,,,0.047,0.344,-9.980,,,,,,
2,S,20655513,3386,2.080,0.800,2.720,0.228,0.068,-9.453,,,,,,,,,,,,
2,A,20657717,2987,,,,,,,1.369,-0.032,-9.609,,,,,,,,,
2,B,20658900,3387,,,,,,,,,,,,,,,,39.562,-98.562,17.688
2,S,20658900,3387,2.400,-0.480,2.080,0.228,0.068,-9.338,,,,,,,,,,,,
2,A,20659709,1992,,,,,,,1.382,-0.050,-9.605,,,,,,,,,
2,B,20660932,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20660932,2032,1.760,-0.160,1.760,0.193,0.068,-9.283,,,,,,,,,,,,
2,A,20663691,3982,,,,,,,1.340,-0.047,-9.805,,,,,,,,,
2,B,20664319,3387,,,,,,,,,,0.008,0.336,-9.805,,,,,,
2,S,20664319,3387,1.440,0.800,1.760,0.117,0.052,-9.268,,,,,,,,,,,,
2,A,20666678,2987,,,,,,,1.307,-0.025,-10.006,,,,,,,,,
2,B,20667706,3387,,,,,,,,,,,,,,,,40.625,-97.312,16.062
2,S,20667706,3387,1.120,1.120,2.080,0.107,0.043,-9.352,,,,,,,,,,,,
2,A,20668669,1991,,,,,,,1.316,-0.004,-10.072,,,,,,,,,
2,B,20669738,2032,,,,,,,,,,-0.059,0.336,-9.906,,,,,,
2,S,20669738,2032,0.800,1.120,2.080,0.138,0.043,-9.432,,,,,,,,,,,,
2,A,20671656,3983,,,,,,,1.307,0.022,-10.035,,,,,,,,,
2,B,20673125,3387,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20673125,3387,0.480,1.440,2.080,0.182,0.052,-9.537,,,,,,,,,,,,
2,A,20674644,1992,,,,,,,1.322,0.000,-9.928,,,,,,,,,
2,B,20675157,2032,,,,,,,,,,,,,,,,39.438,-95.062,16.062
2,S,20675157,2032,0.160,1.760,2.400,0.188,0.058,-9.553,,,,,,,,,,,,
2,A,20677631,2987,,,,,,,1.326,-0.063,-9.873,,,,,,,,,
2,B,20678543,3386,,,,,,,,,,-0.008,0.355,-9.961,,,,,,
2,S,20678543,3386,0.480,2.080,2.720,0.168,0.062,-9.512,,,,,,,,,,,,
2,A,20680618,2987,,,,,,,1.320,-0.067,-9.932,,,,,,,,,
2,B,20681930,3387,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20681930,3387,1.440,1.760,2.400,0.133,0.048,-9.477,,,,,,,,,,,,
2,A,20683605,2987,,,,,,,1.317,-0.051,-10.000,,,,,,,,,
2,B,20683962,2032,,,,,,,,,,,,,,,,40.562,-95.250,15.750
2,S,20683962,2032,1.120,0.800,2.080,0.133,0.033,-9.498,,,,,,,,,,,,
2,A,20686592,2987,,,,,,,1.266,-0.023,-10.046,,,,,,,,,
2,B,20687349,3387,,,,,,,,,,-0.059,0.297,-10.008,,,,,,
2,S,20687349,3387,0.480,-0.480,1.440,0.163,0.018,-9.562,,,,,,,,,,,,
2,A,20688583,1991,,,,,,,1.308,-0.003,-10.091,,,,,,,,,
2,B,20689381,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20689381,2032,-0.480,-0.800,1.440,0.193,0.028,-9.592,,,,,,,,,,,,
2,A,20693561,4978,,,,,,,1.331,0.008,-10.011,,,,,,,,,
2,B,20694123,4742,,,,,,,,,,,,,,,,40.062,-95.812,16.562
2,S,20694123,4742,-0.480,0.800,2.080,0.217,0.068,-9.578,,,,,,,,,,,,
2,A,20695553,1992,,,,,,,1.306,-0.023,-9.909,,,,,,,,,
2,B,20696155,2032,,,,,,,,,,0.008,0.324,-10.074,,,,,,
2,S,20696155,2032,1.120,1.440,2.400,0.207,0.077,-9.553,,,,,,,,,,,,
2,A,20697544,1991,,,,,,,1.319,-0.028,-9.862,,,,,,,,,
2,B,20698845,2690,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20698845,2690,1.760,1.760,2.400,0.193,0.077,-9.533,,,,,,,,,,,,
2,A,20701527,3983,,,,,,,1.318,-0.008,-9.871,,,,,,,,,
2,B,20702928,4083,,,,,,,,,,-0.008,0.375,-10.008,,,,,,
2,S,20702928,4083,1.760,1.760,2.080,0.152,0.062,-9.477,,,,,,,,,,,,
2,A,20704514,2987,,,,,,,1.286,0.043,-9.982,,,,,,,,,
2,B,20704960,2032,,,,,,,,,,,,,,,,40.062,-95.875,15.812
2,S,20704960,2032,0.800,2.080,1.760,0.133,0.062,-9.473,,,,,,,,,,,,
2,A,20707501,2987,,,,,,,1.271,0.058,-9.978,,,,,,,,,
2,B,20708347,3387,,,,,,,,,,-0.047,0.336,-10.000,,,,,,
2,S,20708347,3387,0.480,2.080,1.760,0.147,0.083,-9.498,,,,,,,,,,,,
2,A,20710488,2987,,,,,,,1.266,0.062,-9.833,,,,,,,,,
2,B,20711734,3387,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20711734,3387,0.160,2.080,1.440,0.207,0.113,-9.488,,,,,,,,,,,,
2,A,20714471,3983,,,,,,,1.265,0.042,-9.708,,,,,,,,,
2,B,20715120,3386,,,,,,,,,,,,,,,,40.625,-97.812,15.438
2,S,20715120,3386,0.800,2.080,1.760,0.223,0.133,-9.412,,,,,,,,,,,,
2,A,20717458,2987,,,,,,,1.273,0.024,-9.760,,,,,,,,,
2,B,20718507,3387,,,,,,,,,,0.020,0.395,-9.879,,,,,,
2,S,20718507,3387,2.080,2.400,2.400,0.203,0.142,-9.332,,,,,,,,,,,,
2,A,20720445,2987,,,,,,,1.245,0.025,-9.918,,,,,,,,,
2,B,20721217,2710,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20721217,2710,2.400,2.400,2.720,0.198,0.138,-9.338,,,,,,,,,,,,
2,A,20723432,2987,,,,,,,1.229,0.053,-9.936,,,,,,,,,
2,B,20723926,2709,,,,,,,,,,0.000,0.410,-9.906,,,,,,
2,S,20723926,2709,2.080,2.080,2.400,0.217,0.128,-9.412,,,,,,,,,,,,
2,A,20726419,2987,,,,,,,1.236,0.102,-9.867,,,,,,,,,
2,B,20727313,3387,,,,,,,,,,,,,,,,41.375,-97.875,16.000
2,S,20727313,3387,1.120,1.440,2.400,0.268,0.122,-9.482,,,,,,,,,,,,
2,A,20728410,1991,,,,,,,1.225,0.083,-9.826,,,,,,,,,
2,B,20729345,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20729345,2032,-0.160,1.440,2.400,0.278,0.133,-9.467,,,,,,,,,,,,
2,A,20732393,3983,,,,,,,1.150,0.034,-9.817,,,,,,,,,
2,B,20733409,4064,,,,,,,,,,0.078,0.410,-9.902,,,,,,
2,S,20733409,4064,-0.480,1.760,2.080,0.268,0.147,-9.373,,,,,,,,,,,,
2,A,20735380,2987,,,,,,,1.212,0.043,-9.913,,,,,,,,,
2,B,20736118,2709,,,,,,,,,,,,,,,,40.125,-95.312,16.125
2,S,20736118,2709,0.800,1.760,1.760,0.287,0.147,-9.363,,,,,,,,,,,,
2,A,20737371,1991,,,,,,,1.233,0.015,-9.968,,,,,,,,,
2,B,20738150,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20738150,2032,1.120,1.760,1.440,0.297,0.138,-9.418,,,,,,,,,,,,
2,A,20742349,4978,,,,,,,1.124,0.122,-10.160,,,,,,,,,
2,B,20743569,5419,,,,,,,,,,0.113,0.410,-9.930,,,,,,
2,S,20743569,5419,1.120,2.400,2.080,0.282,0.128,-9.598,,,,,,,,,,,,
2,A,20745336,2987,,,,,,,1.082,0.103,-10.173,,,,,,,,,
2,B,20745601,2032,,,,,,,,,,,,,,,,40.000,-97.500,16.062
2,S,20745601,2032,0.160,2.080,1.760,0.307,0.142,-9.623,,,,,,,,,,,,
2,A,20749319,3983,,,,,,,1.236,0.052,-9.995,,,,,,,,,
2,B,20750343,4742,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20750343,4742,-0.160,0.800,2.080,0.388,0.152,-9.592,,,,,,,,,,,,
2,A,20756289,6970,,,,,,,1.241,-0.041,-9.652,,,,,,,,,
2,B,20757116,6773,,,,,,,,,,0.125,0.402,-10.066,,,,,,
2,S,20757116,6773,1.120,1.440,2.080,0.233,0.098,-9.393,,,,,,,,,,,,
2,A,20759276,2987,,,,,,,1.231,0.017,-9.848,,,,,,,,,
2,B,20759826,2710,,,,,,,,,,,,,,,,40.250,-96.188,16.312
2,S,20759826,2710,2.720,1.440,1.760,0.188,0.077,-9.338,,,,,,,,,,,,
2,A,20761267,1991,,,,,,,1.248,0.037,-9.943,,,,,,,,,
2,B,20761858,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20761858,2032,1.760,1.440,1.760,0.207,0.072,-9.338,,,,,,,,,,,,
2,A,20765250,3983,,,,,,,1.264,0.050,-9.981,,,,,,,,,
2,B,20766599,4741,,,,,,,,,,0.047,0.363,-9.895,,,,,,
2,S,20766599,4741,0.800,0.800,1.440,0.263,0.107,-9.422,,,,,,,,,,,,
2,A,20768237,2987,,,,,,,1.218,0.059,-9.886,,,,,,,,,
2,B,20769309,2710,,,,,,,,,,,,,,,,40.062,-96.875,16.375
2,S,20769309,2710,-0.480,1.120,1.120,0.258,0.122,-9.447,,,,,,,,,,,,
2,A,20771224,2987,,,,,,,1.209,0.024,-9.695,,,,,,,,,
2,B,20772018,2709,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20772018,5418,-0.160,1.120,2.080,0.258,0.102,-9.348,,,,,,,,,,,,
2,A,20774211,2987,,,,,,,1.295,-0.054,-9.658,,,,,,,,,
2,B,20775405,3387,,,,,,,,,,0.039,0.410,-9.926,,,,,,
2,S,20775405,678,2.400,1.120,2.080,0.253,0.098,-9.332,,,,,,,,,,,,
2,A,20777198,2987,,,,,,,1.336,-0.058,-9.773,,,,,,,,,
2,B,20778114,2709,,,,,,,,,,,,,,,,40.312,-97.688,16.250
2,S,20778114,2709,2.720,1.120,3.040,0.228,0.068,-9.307,,,,,,,,,,,,
2,A,20780185,2987,,,,,,,1.293,-0.041,-9.866,,,,,,,,,
2,B,20780824,2710,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20780824,2710,2.400,1.120,3.040,0.188,0.048,-9.348,,,,,,,,,,,,
2,A,20783172,2987,,,,,,,1.207,0.004,-9.999,,,,,,,,,
2,B,20784210,3386,,,,,,,,,,0.039,0.355,-9.793,,,,,,
2,S,20784210,3386,1.120,0.480,2.720,0.158,0.048,-9.438,,,,,,,,,,,,
2,A,20786159,2987,,,,,,,1.231,0.019,-10.092,,,,,,,,,
2,B,20787597,3387,,,,,,,,,,,,,,,,40.750,-96.562,15.312
2,S,20787597,3387,-0.480,0.480,2.400,0.207,0.062,-9.498,,,,,,,,,,,,
2,A,20789146,2987,,,,,,,1.268,-0.015,-10.132,,,,,,,,,
2,B,20789629,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20789629,2032,-0.480,0.480,2.400,0.253,0.072,-9.527,,,,,,,,,,,,
2,A,20793128,3982,,,,,,,1.284,-0.062,-10.007,,,,,,,,,
2,B,20793693,4064,,,,,,,,,,-0.020,0.336,-9.984,,,,,,
2,S,20793693,4064,0.160,0.160,1.760,0.268,0.058,-9.588,,,,,,,,,,,,
2,A,20795120,1992,,,,,,,1.293,-0.053,-9.912,,,,,,,,,
2,B,20796403,2710,,,,,,,,,,,,,,,,40.500,-96.375,15.812
2,S,20796403,2710,1.760,0.160,1.440,0.247,0.037,-9.602,,,,,,,,,,,,
2,A,20797111,1991,,,,,,,1.309,-0.073,-9.815,,,,,,,,,
2,B,20798435,2032,,,,,,,,,,0.059,0.363,-10.027,,,,,,
2,S,20798435,2032,1.760,0.160,1.120,0.217,0.022,-9.572,,,,,,,,,,,,
2,A,20801094,3983,,,,,,,1.323,-0.071,-9.844,,,,,,,,,
2,B,20801821,3386,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20801821,3386,2.080,0.480,1.760,0.177,0.007,-9.473,,,,,,,,,,,,
2,A,20803085,1991,,,,,,,1.343,-0.024,-9.932,,,,,,,,,
2,B,20803854,2033,,,,,,,,,,0.039,0.297,-9.988,,,,,,
2,S,20803854,2033,2.080,0.800,2.400,0.168,0.018,-9.428,,,,,,,,,,,,
2,A,20806072,2987,,,,,,,1.360,-0.031,-9.969,,,,,,,,,
2,B,20807240,3386,,,,,,,,,,,,,,,,40.000,-95.375,15.688
2,S,20807240,3386,1.760,1.120,2.400,0.163,0.028,-9.438,,,,,,,,,,,,
2,A,20809059,2987,,,,,,,1.367,-0.031,-9.952,,,,,,,,,
2,B,20809272,2032,,,,,,,,,,-0.059,0.316,-10.004,,,,,,
2,S,20809272,2032,0.800,1.440,2.080,0.152,0.033,-9.473,,,,,,,,,,,,
2,A,20812046,2987,,,,,,,1.292,-0.009,-9.854,,,,,,,,,
2,B,20812659,3387,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20812659,3387,0.480,2.720,1.440,0.133,0.033,-9.502,,,,,,,,,,,,
2,A,20814037,1991,,,,,,,1.290,0.000,-9.832,,,,,,,,,
2,B,20815369,2710,,,,,,,,,,,,,,,,40.625,-96.750,15.625
2,S,20815369,2710,0.160,2.400,1.120,0.128,0.043,-9.467,,,,,,,,,,,,
2,A,20818020,3983,,,,,,,1.334,-0.041,-9.839,,,,,,,,,
2,B,20818755,3386,,,,,,,,,,-0.039,0.344,-9.875,,,,,,
2,S,20818755,3386,0.480,1.120,1.760,0.142,0.062,-9.393,,,,,,,,,,,,
2,A,20821007,2987,,,,,,,1.404,-0.033,-9.858,,,,,,,,,
2,B,20821465,2710,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20821465,2710,1.120,0.160,2.080,0.152,0.062,-9.373,,,,,,,,,,,,
2,A,20823994,2987,,,,,,,1.369,-0.054,-9.793,,,,,,,,,
2,B,20824851,3386,,,,,,,,,,-0.047,0.305,-9.883,,,,,,
2,S,20824851,3386,1.440,0.480,2.080,0.133,0.058,-9.408,,,,,,,,,,,,
2,A,20826981,2987,,,,,,,1.325,-0.025,-9.864,,,,,,,,,
2,B,20828238,3387,,,,,,,,,,,,,,,,40.375,-96.500,16.188
2,S,20828238,3387,1.120,1.120,1.760,0.098,0.048,-9.447,,,,,,,,,,,,
2,A,20829968,2987,,,,,,,1.252,-0.009,-9.964,,,,,,,,,
2,B,20830270,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20830270,2032,0.800,1.440,1.760,0.102,0.043,-9.457,,,,,,,,,,,,
2,A,20833950,3982,,,,,,,1.266,-0.011,-10.043,,,,,,,,,
2,B,20835012,4742,,,,,,,,,,-0.066,0.344,-9.969,,,,,,
2,S,20835012,4742,0.480,0.800,2.080,0.182,0.062,-9.488,,,,,,,,,,,,
2,A,20835942,1992,,,,,,,1.255,-0.024,-10.055,,,,,,,,,
2,B,20837044,2032,,,,,,,,,,,,,,,,38.562,-95.062,15.750
2,S,20837044,2032,-0.160,0.160,2.080,0.217,0.068,-9.518,,,,,,,,,,,,
2,A,20839924,3982,,,,,,,1.244,-0.037,-10.014,,,,,,,,,
2,B,20840431,3387,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20840431,3387,-0.160,-0.480,2.080,0.247,0.062,-9.578,,,,,,,,,,,,
2,A,20843907,3983,,,,,,,1.264,-0.028,-9.942,,,,,,,,,
2,B,20844495,4064,,,,,,,,,,0.039,0.355,-10.016,,,,,,
2,S,20844495,4064,0.160,0.480,1.760,0.253,0.052,-9.588,,,,,,,,,,,,
2,A,20845898,1991,,,,,,,1.238,-0.012,-9.940,,,,,,,,,
2,B,20847204,2709,,,,,,,,,,0.066,0.324,-10.035,,,,,,
2,S,20847204,5418,0.800,1.120,1.440,0.253,0.068,-9.523,,,,,,,,,,,,
2,A,20849880,3982,,,,,,,1.243,0.017,-9.952,,,,,,,,,
2,B,20850591,3387,,,,,,,,,,,,,,,,40.250,-96.688,15.750
2,S,20850591,678,1.440,2.400,1.440,0.247,0.072,-9.518,,,,,,,,,,,,
2,A,20851872,1992,,,,,,,1.228,-0.018,-9.942,,,,,,,,,
2,B,20852623,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20852623,2032,1.440,2.720,1.760,0.242,0.072,-9.502,,,,,,,,,,,,
2,A,20854859,2987,,,,,,,1.199,0.002,-9.981,,,,,,,,,
2,B,20856010,3387,,,,,,,,,,0.008,0.363,-9.984,,,,,,
2,S,20856010,3387,1.760,2.400,2.720,0.242,0.072,-9.492,,,,,,,,,,,,
2,A,20857846,2987,,,,,,,1.237,0.009,-9.938,,,,,,,,,
2,B,20859396,3386,,,,,,,,,,,,,,,,40.125,-97.375,16.500
2,S,20859396,3386,1.440,1.760,2.720,0.268,0.072,-9.498,,,,,,,,,,,,
2,A,20860833,2987,,,,,,,1.267,0.021,-9.865,,,,,,,,,
2,B,20861428,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20861428,2032,0.800,1.120,2.400,0.268,0.077,-9.492,,,,,,,,,,,,
2,A,20863820,2987,,,,,,,1.258,0.015,-9.775,,,,,,,,,
2,B,20864815,3387,,,,,,,,,,0.059,0.363,-9.922,,,,,,
2,S,20864815,3387,0.800,0.800,1.760,0.258,0.083,-9.443,,,,,,,,,,,,
2,A,20866807,2987,,,,,,,1.256,-0.002,-9.659,,,,,,,,,
2,B,20868202,3387,,,,,,,,,,,,,,,,39.312,-96.812,15.812
2,S,20868202,3387,0.800,1.440,1.120,0.228,0.087,-9.352,,,,,,,,,,,,
2,A,20869793,2986,,,,,,,1.262,-0.012,-9.697,,,,,,,,,
2,B,20870234,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20870234,2032,0.480,1.760,1.120,0.212,0.087,-9.303,,,,,,,,,,,,
2,A,20873776,3983,,,,,,,1.277,-0.009,-9.799,,,,,,,,,
2,B,20874298,4064,,,,,,,,,,0.008,0.383,-9.789,,,,,,
2,S,20874298,4064,0.480,2.080,2.080,0.207,0.087,-9.283,,,,,,,,,,,,
2,A,20875767,1991,,,,,,,1.273,-0.003,-9.841,,,,,,,,,
2,B,20877008,2710,,,,,,,,,,0.020,0.375,-9.820,,,,,,
2,S,20877008,2710,0.480,1.440,2.400,0.217,0.083,-9.328,,,,,,,,,,,,
2,A,20879750,3983,,,,,,,1.240,0.028,-9.890,,,,,,,,,
2,B,20880394,3386,,,,,,,,,,,,,,,,39.938,-95.000,15.625
2,S,20880394,3386,0.480,1.120,2.400,0.228,0.077,-9.393,,,,,,,,,,,,
2,A,20881741,1991,,,,,,,1.225,0.033,-9.925,,,,,,,,,
2,B,20882426,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20882426,2032,0.160,0.800,2.400,0.228,0.083,-9.418,,,,,,,,,,,,
2,A,20884728,2987,,,,,,,1.184,0.021,-9.926,,,,,,,,,
2,B,20885813,3387,,,,,,,,,,,,,,,,40.500,-95.750,16.125
2,S,20885813,3387,0.160,0.800,2.400,0.237,0.098,-9.432,,,,,,,,,,,,
2,A,20888711,3983,,,,,,,1.237,0.005,-9.945,,,,,,,,,
2,B,20889877,4064,,,,,,,,,,0.059,0.375,-9.902,,,,,,
2,S,20889877,4064,0.480,0.480,1.760,0.268,0.098,-9.453,,,,,,,,,,,,
2,A,20892693,3982,,,,,,,1.247,0.015,-10.023,,,,,,,,,
2,B,20893264,3387,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20893264,3387,0.480,0.480,1.760,0.268,0.087,-9.498,,,,,,,,,,,,
2,A,20895680,2987,,,,,,,1.233,0.020,-10.028,,,,,,,,,
2,B,20896651,3387,,,,,,,,,,0.066,0.363,-9.988,,,,,,
2,S,20896651,3387,0.480,0.800,2.080,0.258,0.087,-9.553,,,,,,,,,,,,
2,A,20898667,2987,,,,,,,1.233,0.047,-10.016,,,,,,,,,
2,B,20900038,3387,,,,,,,,,,,,,,,,40.438,-95.375,15.312
2,S,20900038,3387,0.160,1.440,1.760,0.258,0.092,-9.578,,,,,,,,,,,,
2,A,20901654,2987,,,,,,,1.244,0.052,-10.032,,,,,,,,,
2,B,20902070,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20902070,2032,-0.160,1.760,1.760,0.258,0.107,-9.572,,,,,,,,,,,,
2,A,20904641,2987,,,,,,,1.227,0.058,-9.993,,,,,,,,,
2,B,20905456,3386,,,,,,,,,,0.059,0.375,-10.070,,,,,,
2,S,20905456,3386,-0.160,2.080,2.080,0.247,0.117,-9.537,,,,,,,,,,,,
2,A,20907628,2987,,,,,,,1.267,0.040,-9.932,,,,,,,,,
2,B,20908843,3387,,,,,,,,,,,,,,,,40.438,-97.000,15.500
2,S,20908843,3387,0.480,1.120,2.080,0.242,0.113,-9.508,,,,,,,,,,,,
2,A,20910615,2987,,,,,,,1.289,0.028,-9.897,,,,,,,,,
2,B,20910875,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20910875,2032,1.440,0.800,2.080,0.242,0.107,-9.492,,,,,,,,,,,,
2,A,20913602,2987,,,,,,,1.313,0.026,-9.843,,,,,,,,,
2,B,20914262,3387,,,,,,,,,,0.059,0.410,-9.973,,,,,,
2,S,20914262,3387,2.080,0.800,2.080,0.228,0.102,-9.477,,,,,,,,,,,,
2,A,20916589,2987,,,,,,,1.327,0.043,-9.861,,,,,,,,,
2,B,20917649,3387,,,,,,,,,,,,,,,,40.438,-97.000,15.500
2,S,20917649,3387,1.760,1.760,2.400,0.193,0.102,-9.457,,,,,,,,,,,,
