Phase,ID,Time_uS,Delta_uS,SCH_Deg_s_X,SCH_Deg_s_Y,SCH_Deg_s_Z,SCH_G_X,SCH_G_Y,SCH_G_Z,ADXL_G_X,ADXL_G_Y,ADXL_G_Z,BNO_G_X,BNO_G_Y,BNO_G_Z,BNO_Deg_s_X,BNO_Deg_s_Y,BNO_Deg_s_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z
0,A,4558259,1000053,,,,,,,0.232,-0.054,-1.002,,,,,,,,,
0,B,4559351,1001145,,,,,,,,,,,,,0.000,0.000,0.000,,,
0,S,4559351,1001145,1.120,1.760,1.760,-0.080,-0.047,-0.959,,,,,,,,,,,,
0,B,5560498,1001147,,,,,,,,,,,,,,,,83.250,-76.438,-2.625
0,S,5560498,1001147,0.800,0.160,1.440,-0.080,-0.047,-0.957,,,,,,,,,,,,
0,A,5564914,1001676,,,,,,,0.232,-0.055,-1.004,,,,,,,,,
0,B,6561690,1001192,,,,,,,,,,-0.100,-0.020,-1.013,,,,,,
0,S,6561690,1001192,0.160,1.120,2.080,-0.085,-0.048,-0.964,,,,,,,,,,,,
0,A,6566595,1001681,,,,,,,0.236,-0.051,-1.008,,,,,,,,,
0,B,7566253,1004563,,,,,,,,,,-0.083,-0.014,-1.004,,,,,,
0,S,7566253,1004563,0.480,1.440,2.400,-0.071,-0.047,-0.955,,,,,,,,,,,,
0,A,7567261,1000666,,,,,,,0.225,-0.052,-1.001,,,,,,,,,
1,S,7720020,153767,0.160,2.080,2.080,-0.075,-0.057,-0.962,,,,,,,,,,,,
1,A,7721592,154331,,,,,,,0.247,-0.082,-0.986,,,,,,,,,
1,B,7722052,155799,,,,,,,,,,,,,-0.336,0.000,0.000,,,
1,S,7722052,2032,0.480,2.720,1.760,-0.068,-0.055,-0.959,,,,,,,,,,,,
1,A,7728562,6970,,,,,,,0.192,-0.073,-1.032,,,,,,,,,
1,B,7729503,7451,,,,,,,,,,,,,,,,84.688,-76.750,-2.750
1,S,7729503,7451,0.480,1.120,2.400,-0.094,-0.046,-0.936,,,,,,,,,,,,
1,A,7730553,1991,,,,,,,0.216,-0.059,-1.007,,,,,,,,,
1,B,7730858,1355,,,,,,,,,,-0.112,-0.019,-0.967,,,,,,
1,S,7730858,1355,3.040,0.160,2.720,-0.081,-0.049,-0.948,,,,,,,,,,,,
1,A,7732545,1992,,,,,,,0.251,-0.071,-0.986,,,,,,,,,
1,B,7733568,2710,,,,,,,,,,,,,0.224,-0.112,-0.112,,,
1,S,7733568,2710,3.360,-0.160,3.040,-0.055,-0.055,-0.973,,,,,,,,,,,,
